strike_price,premium
8000,1070.15
8050,1145.95
8100,1018.40
8150,999.80
8200,941.65
8250,944.65
8300,869.75
8350,848.50
8400,758.05
8450,733.45
8500,636.25
8550,592.30
8600,555.85
8650,550.85
8700,414.30
8750,434.85
8800,337.15
8850,406.45
8900,266.65
8950,244.80
9000,202.00
9050,177.50
9100,150.00
9150,130.00
9200,110.00
9250,139.20
9300,77.75
9350,693.70
9400,57.00
9450,176.00
9500,31.00
9550,38.80
9600,18.45
9650,34.40
9700,12.70
9750,25.00
9800,7.95
9850,24.40
9900,7.90
9950,14.80
10000,4.70
10050,14.80
10100,4.50
10150,18.80
10200,5.00
10250,18.70
10300,5.00
10350,13.80
10400,8.90
10450,24.80
10500,2.50
10550,9.70
10600,6.60
10650,39.75
10700,7.90
10750,69.25
10800,5.90
10850,58.25
10900,8.90
10950,48.75
11000,6.50
