strike_price,premium
8000,85.00
8050,282.90
8100,237.05
8150,135.20
8200,335.20
8250,335.20
8300,335.20
8350,426.85
8400,460.15
8450,475.10
8500,521.20
8550,532.30
8600,532.30
8650,532.30
8700,532.30
8750,532.30
8800,532.30
8850,532.30
8900,532.30
8950,525.90
9000,530.30
9050,526.30
9100,511.35
9150,562.55
9200,672.80
9250,737.95
9300,794.15
9350,826.65
9400,884.00
9450,931.65
9500,1053.00
9550,1107.10
9600,1161.15
9650,1215.25
9700,1269.30
9750,1323.40
9800,1377.45
9850,1431.55
9900,1485.60
9950,1466.75
10000,1522.20
10050,1567.20
10100,1625.10
10150,1683.00
10200,1742.15
10250,1792.15
10300,1848.75
10350,1903.85
10400,1959.25
10450,2025.80
10500,2081.25
10550,2134.50
10600,2188.55
10650,2246.65
10700,2296.50
10750,2350.55
10800,2403.70
10850,2458.30
10900,2504.70
10950,2558.50
11000,2619.70
