strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,1094.6,20-05-2020,28-05-2020,ITM,call
8050,1074.55,20-05-2020,28-05-2020,ITM,call
8100,1018.5,20-05-2020,28-05-2020,ITM,call
8150,968.1,20-05-2020,28-05-2020,ITM,call
8200,897.1,20-05-2020,28-05-2020,ITM,call
8250,881,20-05-2020,28-05-2020,ITM,call
8300,790,20-05-2020,28-05-2020,ITM,call
8350,787.9,20-05-2020,28-05-2020,ITM,call
8400,724.85,20-05-2020,28-05-2020,ITM,call
8450,672.25,20-05-2020,28-05-2020,ITM,call
8500,606.8,20-05-2020,28-05-2020,ITM,call
8550,588.95,20-05-2020,28-05-2020,ITM,call
8600,521.2,20-05-2020,28-05-2020,ITM,call
8650,476.2,20-05-2020,28-05-2020,ITM,call
8700,434.35,20-05-2020,28-05-2020,ITM,call
8750,392.7,20-05-2020,28-05-2020,ITM,call
8800,344.95,20-05-2020,28-05-2020,ITM,call
8850,322.4,20-05-2020,28-05-2020,ITM,call
8900,271.5,20-05-2020,28-05-2020,ITM,call
8950,244.95,20-05-2020,28-05-2020,ITM,call
9000,207.6,20-05-2020,28-05-2020,ITM,call
9050,179.85,20-05-2020,28-05-2020,ITM,call
9100,151,20-05-2020,28-05-2020,ATM,call
9150,128.5,20-05-2020,28-05-2020,OTM,call
9200,107.6,20-05-2020,28-05-2020,OTM,call
9250,88.9,20-05-2020,28-05-2020,OTM,call
9300,72,20-05-2020,28-05-2020,OTM,call
9350,59,20-05-2020,28-05-2020,OTM,call
9400,47.5,20-05-2020,28-05-2020,OTM,call
9450,37.85,20-05-2020,28-05-2020,OTM,call
9500,30.5,20-05-2020,28-05-2020,OTM,call
9550,25,20-05-2020,28-05-2020,OTM,call
9600,18.2,20-05-2020,28-05-2020,OTM,call
9650,15.1,20-05-2020,28-05-2020,OTM,call
9700,11.5,20-05-2020,28-05-2020,OTM,call
9750,9.5,20-05-2020,28-05-2020,OTM,call
9800,7.3,20-05-2020,28-05-2020,OTM,call
9850,6.3,20-05-2020,28-05-2020,OTM,call
9900,5.55,20-05-2020,28-05-2020,OTM,call
9950,5.4,20-05-2020,28-05-2020,OTM,call
10000,4.65,20-05-2020,28-05-2020,OTM,call
10050,4.4,20-05-2020,28-05-2020,OTM,call
10100,4,20-05-2020,28-05-2020,OTM,call
10150,3.9,20-05-2020,28-05-2020,OTM,call
10200,2.7,20-05-2020,28-05-2020,OTM,call
10250,2.95,20-05-2020,28-05-2020,OTM,call
10300,2.3,20-05-2020,28-05-2020,OTM,call
10350,3.9,20-05-2020,28-05-2020,OTM,call
10400,2.4,20-05-2020,28-05-2020,OTM,call
10450,2.55,20-05-2020,28-05-2020,OTM,call
10500,2.2,20-05-2020,28-05-2020,OTM,call
10550,3.35,20-05-2020,28-05-2020,OTM,call
10600,2,20-05-2020,28-05-2020,OTM,call
10650,4.3,20-05-2020,28-05-2020,OTM,call
10700,1.9,20-05-2020,28-05-2020,OTM,call
10750,2,20-05-2020,28-05-2020,OTM,call
10800,1.8,20-05-2020,28-05-2020,OTM,call
10850,3.8,20-05-2020,28-05-2020,OTM,call
10900,1.65,20-05-2020,28-05-2020,OTM,call
10950,1.8,20-05-2020,28-05-2020,OTM,call
11000,1.65,20-05-2020,28-05-2020,OTM,call
