strike_price,premium,current_date,expiry_date,moneyness,option_type
8000,140,20-05-2020,11-06-2020,OTM,put
8050,0,20-05-2020,11-06-2020,OTM,put
8100,0,20-05-2020,11-06-2020,OTM,put
8150,0,20-05-2020,11-06-2020,OTM,put
8200,265.2,20-05-2020,11-06-2020,OTM,put
8250,474.05,20-05-2020,11-06-2020,OTM,put
8300,440,20-05-2020,11-06-2020,OTM,put
8350,540,20-05-2020,11-06-2020,OTM,put
8400,440,20-05-2020,11-06-2020,OTM,put
8450,212.7,20-05-2020,11-06-2020,OTM,put
8500,179.95,20-05-2020,11-06-2020,OTM,put
8550,515.2,20-05-2020,11-06-2020,OTM,put
8600,522.85,20-05-2020,11-06-2020,OTM,put
8650,515.2,20-05-2020,11-06-2020,OTM,put
8700,515.2,20-05-2020,11-06-2020,OTM,put
8750,522.85,20-05-2020,11-06-2020,OTM,put
8800,515.2,20-05-2020,11-06-2020,OTM,put
8850,515.2,20-05-2020,11-06-2020,OTM,put
8900,522.9,20-05-2020,11-06-2020,OTM,put
8950,469.7,20-05-2020,11-06-2020,OTM,put
9000,427.1,20-05-2020,11-06-2020,OTM,put
9050,1007.1,20-05-2020,11-06-2020,OTM,put
9100,588.45,20-05-2020,11-06-2020,ATM,put
9150,643.15,20-05-2020,11-06-2020,ITM,put
9200,486.3,20-05-2020,11-06-2020,ITM,put
9250,752.55,20-05-2020,11-06-2020,ITM,put
9300,807.25,20-05-2020,11-06-2020,ITM,put
9350,862.5,20-05-2020,11-06-2020,ITM,put
9400,852.8,20-05-2020,11-06-2020,ITM,put
9450,906.85,20-05-2020,11-06-2020,ITM,put
9500,0,20-05-2020,11-06-2020,ITM,put
9550,636.5,20-05-2020,11-06-2020,ITM,put
9600,691.05,20-05-2020,11-06-2020,ITM,put
9650,745.7,20-05-2020,11-06-2020,ITM,put
9700,800.3,20-05-2020,11-06-2020,ITM,put
9750,856.05,20-05-2020,11-06-2020,ITM,put
9800,1009.95,20-05-2020,11-06-2020,ITM,put
9850,996.6,20-05-2020,11-06-2020,ITM,put
9900,1119,20-05-2020,11-06-2020,ITM,put
9950,1173.65,20-05-2020,11-06-2020,ITM,put
10000,1112.35,20-05-2020,11-06-2020,ITM,put
10050,1166.95,20-05-2020,11-06-2020,ITM,put
10100,1213.65,20-05-2020,11-06-2020,ITM,put
10150,1274.65,20-05-2020,11-06-2020,ITM,put
10200,1318.4,20-05-2020,11-06-2020,ITM,put
10250,1394.75,20-05-2020,11-06-2020,ITM,put
10300,1420.2,20-05-2020,11-06-2020,ITM,put
10350,1510.3,20-05-2020,11-06-2020,ITM,put
10400,1523.85,20-05-2020,11-06-2020,ITM,put
10450,1567.65,20-05-2020,11-06-2020,ITM,put
10500,1602.4,20-05-2020,11-06-2020,ITM,put
10550,1675.45,20-05-2020,11-06-2020,ITM,put
10600,1729,20-05-2020,11-06-2020,ITM,put
10650,1783,20-05-2020,11-06-2020,ITM,put
10700,1833.15,20-05-2020,11-06-2020,ITM,put
10750,1885.9,20-05-2020,11-06-2020,ITM,put
10800,1939.35,20-05-2020,11-06-2020,ITM,put
10850,1988.1,20-05-2020,11-06-2020,ITM,put
10900,2064.1,20-05-2020,11-06-2020,ITM,put
10950,2116.3,20-05-2020,11-06-2020,ITM,put
11000,2136.7,20-05-2020,11-06-2020,ITM,put
