strike_price,new_premium,Old Premium,Change,current_date,Date of New Premium,Expiry Date
8000,1262.7797485024812,1289.55,-26.770251497518757,20-05-2020,22-05-2020,18-06-2020
8050,1255.4857753313086,1281.85,-26.36422466869135,20-05-2020,22-05-2020,18-06-2020
8100,1170.1856282040308,1195.05,-24.86437179596919,20-05-2020,22-05-2020,18-06-2020
8150,1158.8676204475664,1183.45,-24.582379552433622,20-05-2020,22-05-2020,18-06-2020
8200,1075.522801246553,1099.4,-23.877198753447146,20-05-2020,22-05-2020,18-06-2020
8250,1072.144723429524,1095.4,-23.2552765704761,20-05-2020,22-05-2020,18-06-2020
8300,983.7291037124668,1006.8,-23.070896287533174,20-05-2020,22-05-2020,18-06-2020
8350,987.2734470610164,1009.2,-21.926552938983605,20-05-2020,22-05-2020,18-06-2020
8400,895.7766805215288,917.25,-21.47331947847124,20-05-2020,22-05-2020,18-06-2020
8450,898.2388219026731,919.6,-21.361178097326956,20-05-2020,22-05-2020,18-06-2020
8500,810.6606948336365,831.1,-20.43930516636351,20-05-2020,22-05-2020,18-06-2020
8550,820.043692862743,840.2,-20.156307137257045,20-05-2020,22-05-2020,18-06-2020
8600,738.3895900898438,758.9,-20.510409910156227,20-05-2020,22-05-2020,18-06-2020
8650,747.7003931889441,767.2,-19.49960681105597,20-05-2020,22-05-2020,18-06-2020
8700,650.9782286664915,670.75,-19.771771333508468,20-05-2020,22-05-2020,18-06-2020
8750,678.2252591599668,697.45,-19.22474084003329,20-05-2020,22-05-2020,18-06-2020
8800,578.4436230658418,597.55,-19.106376934158106,20-05-2020,22-05-2020,18-06-2020
8850,568.6353925100109,587.75,-19.114607489989112,20-05-2020,22-05-2020,18-06-2020
8900,511.80254546471446,530.75,-18.947454535285544,20-05-2020,22-05-2020,18-06-2020
8950,530.9469485768805,549.6,-18.653051423119564,20-05-2020,22-05-2020,18-06-2020
9000,437.07034795540727,455.85,-18.77965204459275,20-05-2020,22-05-2020,18-06-2020
9050,413.1743657505789,431.1,-17.925634249421137,20-05-2020,22-05-2020,18-06-2020
9100,432.2605008459135,450,-17.739499154086502,20-05-2020,22-05-2020,18-06-2020
9150,480.3301323786518,498.9,-18.56986762134818,20-05-2020,22-05-2020,18-06-2020
9200,492.38452512109006,510.25,-17.865474878909936,20-05-2020,22-05-2020,18-06-2020
9250,492.4248360035133,510.3,-17.87516399648672,20-05-2020,22-05-2020,18-06-2020
9300,492.4521212525011,510.3,-17.847878747498896,20-05-2020,22-05-2020,18-06-2020
9350,482.467343766606,500.85,-18.382656233394016,20-05-2020,22-05-2020,18-06-2020
9400,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9450,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9500,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9550,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9600,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9650,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9700,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9750,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9800,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9850,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9900,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
9950,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10000,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10050,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10100,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10150,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10200,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10250,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10300,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10350,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10400,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10450,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10500,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10550,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10600,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10650,0.0,0,0.0,20-05-2020,22-05-2020,18-06-2020
10700,21.26644035173608,41.3,-20.033559648263918,20-05-2020,22-05-2020,18-06-2020
10750,21.126715516161664,41.3,-20.173284483838334,20-05-2020,22-05-2020,18-06-2020
10800,16.984261783655263,37.05,-20.065738216344734,20-05-2020,22-05-2020,18-06-2020
10850,16.839154583622218,37.3,-20.46084541637778,20-05-2020,22-05-2020,18-06-2020
10900,16.691464431752422,37.3,-20.608535568247575,20-05-2020,22-05-2020,18-06-2020
10950,131.5412573343468,152.35,-20.8087426656532,20-05-2020,22-05-2020,18-06-2020
11000,13.38859515541207,34.3,-20.911404844587928,20-05-2020,22-05-2020,18-06-2020
