strike_price,new_premium,Old Premium,Change,current_date,Date of New Premium,Expiry Date
8000,152.98292585013303,122.75,30.23292585013303,20-05-2020,22-05-2020,18-06-2020
8050,465.57119924742653,422.7,42.871199247426546,20-05-2020,22-05-2020,18-06-2020
8100,177.06022549855493,122.8,54.26022549855493,20-05-2020,22-05-2020,18-06-2020
8150,229.01820813118175,164.05,64.96820813118174,20-05-2020,22-05-2020,18-06-2020
8200,207.43193875023445,134.85,72.58193875023446,20-05-2020,22-05-2020,18-06-2020
8250,264.4544475935879,184.35,80.10444759358788,20-05-2020,22-05-2020,18-06-2020
8300,237.28359482302926,151.95,85.33359482302927,20-05-2020,22-05-2020,18-06-2020
8350,297.1112701691105,206.45,90.66127016911054,20-05-2020,22-05-2020,18-06-2020
8400,265.1056856614538,170.85,94.25568566145378,20-05-2020,22-05-2020,18-06-2020
8450,323.40787644303924,225.3,98.10787644303923,20-05-2020,22-05-2020,18-06-2020
8500,292.13369576177035,191.85,100.28369576177036,20-05-2020,22-05-2020,18-06-2020
8550,356.377503103186,253.95,102.42750310318598,20-05-2020,22-05-2020,18-06-2020
8600,333.2159913728487,228.6,104.6159913728487,20-05-2020,22-05-2020,18-06-2020
8650,394.71159030823867,288.75,105.96159030823867,20-05-2020,22-05-2020,18-06-2020
8700,355.9153028944829,248.55,107.36530289448291,20-05-2020,22-05-2020,18-06-2020
8750,435.86899671113963,327.45,108.41899671113964,20-05-2020,22-05-2020,18-06-2020
8800,392.6072270065223,283.15,109.45722700652232,20-05-2020,22-05-2020,18-06-2020
8850,427.15867751405455,317.85,109.30867751405452,20-05-2020,22-05-2020,18-06-2020
8900,430.5472970931704,320.7,109.84729709317043,20-05-2020,22-05-2020,18-06-2020
8950,506.79319739559725,396.9,109.89319739559727,20-05-2020,22-05-2020,18-06-2020
9000,466.91336384319067,356.85,110.06336384319064,20-05-2020,22-05-2020,18-06-2020
9050,496.92222097963776,386,110.92222097963776,20-05-2020,22-05-2020,18-06-2020
9100,646.8320841031414,536.2,110.63208410314132,20-05-2020,22-05-2020,18-06-2020
9150,705.6535218566029,595,110.65352185660288,20-05-2020,22-05-2020,18-06-2020
9200,758.3956488382638,648,110.39564883826381,20-05-2020,22-05-2020,18-06-2020
9250,812.06636297581,702.95,109.11636297580992,20-05-2020,22-05-2020,18-06-2020
9300,870.6725390953178,761.2,109.47253909531776,20-05-2020,22-05-2020,18-06-2020
9350,921.2201875797427,812.1,109.12018757974272,20-05-2020,22-05-2020,18-06-2020
9400,956.7145850662744,848.95,107.76458506627432,20-05-2020,22-05-2020,18-06-2020
9450,1018.1603826362455,910.9,107.26038263624548,20-05-2020,22-05-2020,18-06-2020
9500,1076.5616957975717,969.1,107.46169579757168,20-05-2020,22-05-2020,18-06-2020
9550,1129.92217966628,1023.2,106.72217966628,20-05-2020,22-05-2020,18-06-2020
9600,1183.245092058885,1077.8,105.44509205888494,20-05-2020,22-05-2020,18-06-2020
9650,1229.5333466646198,1124.9,104.6333466646197,20-05-2020,22-05-2020,18-06-2020
9700,1278.7895580406207,1174.5,104.2895580406207,20-05-2020,22-05-2020,18-06-2020
9750,1333.0160798373852,1229,104.01607983738518,20-05-2020,22-05-2020,18-06-2020
9800,1381.2150373958862,1278.1,103.11503739588625,20-05-2020,22-05-2020,18-06-2020
9850,1432.3883556461533,1330.35,102.03835564615338,20-05-2020,22-05-2020,18-06-2020
9900,1483.537783068011,1382.6,100.93778306801119,20-05-2020,22-05-2020,18-06-2020
9950,1536.6649123389375,1436.7,99.96491233893744,20-05-2020,22-05-2020,18-06-2020
10000,1589.7711981845518,1490.75,99.02119818455185,20-05-2020,22-05-2020,18-06-2020
10050,1644.857972858648,1546.65,98.20797285864796,20-05-2020,22-05-2020,18-06-2020
10100,1694.9264596076457,1597.95,96.97645960764567,20-05-2020,22-05-2020,18-06-2020
10150,1748.977784415549,1652.25,96.72778441554897,20-05-2020,22-05-2020,18-06-2020
10200,1811.0129862773272,1715.25,95.76298627732717,20-05-2020,22-05-2020,18-06-2020
10250,1856.0330262090135,1761.15,94.88302620901345,20-05-2020,22-05-2020,18-06-2020
10300,1916.038795170109,1822.05,93.98879517010914,20-05-2020,22-05-2020,18-06-2020
10350,1969.0311210467976,1876.1,92.93112104679767,20-05-2020,22-05-2020,18-06-2020
10400,2043.0107748219402,1951.4,91.61077482194014,20-05-2020,22-05-2020,18-06-2020
10450,2090.9784760390553,2000.95,90.02847603905525,20-05-2020,22-05-2020,18-06-2020
10500,2150.9348976517535,2061.4,89.53489765175345,20-05-2020,22-05-2020,18-06-2020
10550,2199.880670336932,2111.25,88.63067033693187,20-05-2020,22-05-2020,18-06-2020
10600,2251.8163863388922,2164.2,87.61638633889243,20-05-2020,22-05-2020,18-06-2020
10650,2326.7426029022085,2240.25,86.49260290220855,20-05-2020,22-05-2020,18-06-2020
10700,2356.6598453432,2271.5,85.15984534319978,20-05-2020,22-05-2020,18-06-2020
10750,2410.568609803133,2326.1,84.46860980313295,20-05-2020,22-05-2020,18-06-2020
10800,2466.469365720543,2383.15,83.31936572054292,20-05-2020,22-05-2020,18-06-2020
10850,2517.36255805515,2435.3,82.06255805515002,20-05-2020,22-05-2020,18-06-2020
10900,2570.24860929166,2489.1,81.14860929166025,20-05-2020,22-05-2020,18-06-2020
10950,2647.1279212481413,2567.85,79.27792124814141,20-05-2020,22-05-2020,18-06-2020
11000,2701.0008767105683,2622.45,78.55087671056845,20-05-2020,22-05-2020,18-06-2020
