"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L "
"NIFTY 50","10,039.95","10,040.75","9,508.00","10,458.40","9,530.00","-928.40","-8.88",1209564335,"345,495,150,182.72","12,430.50","10,294.45"
"INFRATEL","207.00","224.50","207.00","224.75","220.35","-4.40","-1.96",7403132,"1,622,544,440.44","333.45","176.35"
"ASIANPAINT","1,864.95","1,874.80","1,815.00","1,882.85","1,832.20","-50.65","-2.69",5782787,"10,651,604,514.65","1,916.70","1,291.25"
"NESTLEIND","15,869.45","15,869.45","15,045.00","16,048.55","15,343.10","-705.45","-4.40",182440,"2,804,604,510.00","16,835.15","10,120.05"
"EICHERMOT","16,999.80","17,281.50","16,700.00","17,753.60","16,889.10","-864.50","-4.87",329438,"5,570,645,038.52","23,450.00","15,200.00"
"HINDUNILVR","2,102.40","2,123.00","2,031.65","2,155.00","2,039.75","-115.25","-5.35",3004843,"6,257,044,675.76","2,308.20","1,650.00"
"CIPLA","412.50","412.50","390.75","417.10","394.70","-22.40","-5.37",4912427,"1,950,037,021.92","586.00","389.55"
"TATASTEEL","275.00","291.80","267.20","299.75","283.25","-16.50","-5.50",39309429,"11,034,549,814.59","561.65","267.20"
"BHARTIARTL","478.50","481.50","459.20","493.80","464.85","-28.95","-5.86",12403297,"5,845,177,744.22","568.85","291.51"
"DRREDDY","2,948.00","2,982.50","2,805.15","3,000.60","2,807.00","-193.60","-6.45",653911,"1,891,797,218.55","3,364.95","2,351.20"
"M&M","427.90","435.95","399.65","451.60","420.90","-30.70","-6.80",8379900,"3,518,049,618.00","704.20","399.65"
"WIPRO","204.00","206.95","197.80","213.10","197.85","-15.25","-7.16",4409442,"897,850,580.04","301.60","197.80"
"BAJFINANCE","3,860.00","3,869.95","3,628.10","4,030.65","3,729.90","-300.75","-7.46",4787964,"17,935,282,227.24","4,923.40","2,745.50"
"RELIANCE","1,085.00","1,101.00","1,048.70","1,153.55","1,066.55","-87.00","-7.54",22412840,"24,163,506,932.40","1,617.55","1,048.70"
"HEROMOTOCO","1,956.00","1,978.95","1,793.75","2,036.05","1,873.70","-162.35","-7.97",1854288,"3,470,096,020.32","3,022.90","1,793.75"
"BRITANNIA","2,945.00","2,968.95","2,802.10","3,048.30","2,805.10","-243.20","-7.98",686317,"1,960,540,005.37","3,583.75","2,300.00"
"ULTRACEMCO","3,890.00","3,890.00","3,612.50","3,993.40","3,673.30","-320.10","-8.02",897206,"3,350,023,651.04","4,904.95","3,612.50"
"HDFC","1,990.00","1,990.00","1,861.10","2,036.25","1,871.90","-164.35","-8.07",7390566,"14,267,192,040.36","2,499.90","1,861.10"
"INDUSINDBK","775.20","831.95","770.00","853.55","784.20","-69.35","-8.12",14810716,"11,957,727,776.92","1,834.40","770.00"
"TECHM","676.00","690.00","637.10","708.55","650.85","-57.70","-8.14",2996909,"1,975,022,969.18","846.50","607.15"
"SUNPHARMA","365.50","372.70","346.40","385.95","354.25","-31.70","-8.21",10198900,"3,652,124,101.00","484.25","344.55"
"COALINDIA","161.00","163.00","150.10","168.00","154.20","-13.80","-8.21",28078422,"4,365,913,836.78","271.45","150.10"
"MARUTI","5,939.30","5,939.30","5,555.55","6,146.30","5,638.00","-508.30","-8.27",1164123,"6,702,438,172.50","7,758.70","5,446.05"
"INFY","668.00","670.00","628.60","686.00","629.10","-56.90","-8.29",11791838,"7,628,257,920.58","847.00","615.10"
"POWERGRID","176.20","177.90","166.30","181.40","166.30","-15.10","-8.32",30381064,"5,200,022,914.24","216.25","166.30"
"IOC","93.00","93.65","88.00","96.90","88.40","-8.50","-8.77",25557165,"2,316,757,007.25","170.75","88.00"
"HCLTECH","521.00","527.80","488.95","536.80","489.20","-47.60","-8.87",4340706,"2,209,158,911.64","623.50","488.95"
