"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","    12202.15","    12222.20","    12165.30","    12182.50","      304078039","        10445.68"
"02-Jan-2020","    12198.55","    12289.90","    12195.25","    12282.20","      407697594","        15256.55"
"03-Jan-2020","    12261.10","    12265.60","    12191.35","    12226.65","      428770054","        16827.27"
"06-Jan-2020","    12170.60","    12179.10","    11974.20","    11993.05","      396501419","        16869.22"
"07-Jan-2020","    12079.10","    12152.15","    12005.35","    12052.95","      447818617","        17797.68"
"08-Jan-2020","    11939.10","    12044.95","    11929.60","    12025.35","      445991640","        18281.15"
"09-Jan-2020","    12153.15","    12224.05","    12132.55","    12215.90","      477469878","        18456.64"
"10-Jan-2020","    12271.00","    12311.20","    12213.20","    12256.80","      660627930","        18818.62"
"13-Jan-2020","    12296.70","    12337.75","    12285.80","    12329.55","      500968242","        17522.13"
"14-Jan-2020","    12333.10","    12374.25","    12308.70","    12362.30","      616260555","        17948.92"
"15-Jan-2020","    12349.40","    12355.15","    12278.75","    12343.30","      684352965","        17882.51"
"16-Jan-2020","    12347.10","    12389.05","    12315.80","    12355.50","      395670245","        16004.06"
"17-Jan-2020","    12328.40","    12385.45","    12321.40","    12352.35","      502060615","        21397.63"
"20-Jan-2020","    12430.50","    12430.50","    12216.90","    12224.55","      491609317","        21415.43"
"21-Jan-2020","    12195.30","    12230.05","    12162.30","    12169.85","      443976442","        18682.65"
"22-Jan-2020","    12218.35","    12225.05","    12087.90","    12106.90","      526294513","        19758.68"
"23-Jan-2020","    12123.75","    12189.00","    12094.10","    12180.35","      867653663","        23829.39"
"24-Jan-2020","    12174.55","    12272.15","    12149.65","    12248.25","      593237908","        18032.27"
"27-Jan-2020","    12197.10","    12216.60","    12107.00","    12119.00","      441158138","        17988.61"
"28-Jan-2020","    12148.10","    12163.55","    12024.50","    12055.80","      478484057","        20917.62"
"29-Jan-2020","    12114.90","    12169.60","    12103.80","    12129.50","      514362340","        20646.18"
"30-Jan-2020","    12147.75","    12150.30","    12010.60","    12035.80","      538138743","        19372.67"
"31-Jan-2020","    12100.40","    12103.55","    11945.85","    11962.10","      771278258","        26044.91"
