strike_price,premium,current_date,expiry_date,moneyness
8500,1193,01-05-2020,14-05-2020,OTM
8600,1201,01-05-2020,14-05-2020,OTM
8700,1208,01-05-2020,14-05-2020,OTM
8800,1217,01-05-2020,14-05-2020,OTM
8900,1226,01-05-2020,14-05-2020,OTM
9000,1231,01-05-2020,14-05-2020,OTM
9100,1239,01-05-2020,14-05-2020,OTM
9200,1245,01-05-2020,14-05-2020,OTM
9300,1252,01-05-2020,14-05-2020,OTM
9400,1268,01-05-2020,14-05-2020,OTM
9500,1277,01-05-2020,14-05-2020,OTM
9600,1282,01-05-2020,14-05-2020,OTM
9700,1294,01-05-2020,14-05-2020,OTM
9800,1304,01-05-2020,14-05-2020,ATM
9900,1314,01-05-2020,14-05-2020,ITM
10000,1325,01-05-2020,14-05-2020,ITM
10100,1333,01-05-2020,14-05-2020,ITM
10200,1340,01-05-2020,14-05-2020,ITM
10300,1351,01-05-2020,14-05-2020,ITM
10400,1360,01-05-2020,14-05-2020,ITM
10500,1368,01-05-2020,14-05-2020,ITM
10600,1373,01-05-2020,14-05-2020,ITM
10700,1381,01-05-2020,14-05-2020,ITM
10800,1387,01-05-2020,14-05-2020,ITM
10900,1390,01-05-2020,14-05-2020,ITM
11000,1400,01-05-2020,14-05-2020,ITM
